CAS-RN,SMILES,train/test,LC50[-LOG(mol/L)],TPSA(Tot),SAacc,H-050,MLOGP,RDCHI,GATS1p,nN,C-040
75-25-2,BrC(Br)Br,train,3.740,0,0,0,2.419,1.225,0.667,0,0
598-16-3,BrC=C(Br)Br,train,4.330,0,0,0,2.638,1.401,0.632,0,0
60348-60-9,Brc1ccc(c(c1)Br)Oc1cc(Br)c(cc1Br)Br,train,7.019,9.23,11,0,5.799,2.93,0.486,0,0
5436-43-1,Brc1ccc(c(c1)Br)Oc1ccc(cc1Br)Br,train,6.723,9.23,11,0,5.453,2.887,0.495,0,0
101-55-3,Brc1ccc(cc1)Oc1ccccc1,train,5.979,9.23,11,0,4.068,2.758,0.695,0,0
11141-17-6,C/C=C(\C(=O)OC1CC(OC(=O)C)C2(C3C41COC(C4C(C)(C(C3OC2)O)C12OC2(C)C2CC1OC1C2(O)C=CO1)(O)C(=O)OC)C(=O)OC)/C,train,6.064,215.34,327.629,3,0.189,4.677,1.333,0,4
4180-23-8,C/C=C/c1ccc(cc1)OC,train,7.337,9.23,11,0,2.723,2.321,1.165,0,0
77-73-6,C1=CC2C(C1)C1C=CC2C1,train,4.100,0,0,0,3.267,2.318,0.963,0,0
110-83-8,C1CCC=CC1,train,3.941,0,0,0,2.067,1.8,1.25,0,0
287-92-3,C1CCCC1,train,3.809,0,0,0,2.746,1.667,1.4,0,0
110-82-7,C1CCCCC1,train,4.340,0,0,0,3.124,1.8,1.417,0,0
110-89-4,C1CCCNC1,train,3.930,12.03,18.011,1,0.817,1.8,1.488,1,0
121-29-9,C=C/C=C/CC1=C(C)C(CC1=O)OC(=O)C1C(C1(C)C)/C=C(/C(=O)OC)\C,train,7.371,69.67,97.435,0,3.122,3.723,1.26,0,2
107-13-1,C=CC#N,train,3.780,23.79,31.059,0,0.094,1.334,1.115,1,1
224452-66-8,C=CC1(C)CC(OC(=O)CSC2CC3CCC(C2)N3C)C2(C)C(C)CCC3(C(C1O)C)C2C(=O)CC3,train,4.112,92.14,107.097,1,4.275,4.174,1.174,1,1
100-42-5,C=Cc1ccccc1,train,3.533,0,0,0,2.851,1.989,0.938,0,0
74-83-9,CBr,train,4.632,0,0,0,1.115,1,0.588,0,0
26002-80-2,CC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)C,train,7.693,35.53,47.145,0,4.579,3.875,1.124,0,1
67-64-1,CC(=O)C,train,0.673,17.07,25.145,0,0.202,1.225,1.66,0,0
123-54-6,CC(=O)CC(=O)C,train,3.323,34.14,50.29,0,0.076,1.654,1.493,0,0
81-81-2,CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c3ccccc3,train,2.955,67.51,103.973,1,3.204,3.344,0.938,0,1
103-90-2,CC(=O)Nc1ccc(cc1)O,train,4.216,49.33,85.839,2,1.06,2.272,1.007,1,1
104227-87-4,CC(=O)OCC(CCn1cnc2c1nc(N)nc2)COC(=O)C,train,2.593,122.22,155.543,2,1.406,3.511,1.456,5,2
5417-35-6,CC(C1OCC=CCO1)C,train,2.272,18.46,22,0,1.262,2.147,1.576,0,0
35723-83-2,CC(CCCCCCCCCCN(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C)C,train,5.960,3.24,3.124,0,9.148,5.497,1.559,1,0
57157-80-9,CC(CCCCCCCCCCNCCCCCCCCCCC(C)C)C,train,6.537,12.03,18.011,1,6.728,4.392,1.554,1,0
29761-21-5,CC(CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1)C,train,7.100,54.57,41.028,0,5.65,4.026,1.575,0,0
13408-56-5,CC(CCC(C(C1CCC2(C1(C)CCC1C2=CC(=O)C2C1(C)CC(O)C(C2)O)O)(O)C)O)C,train,6.424,118.22,238.562,5,2.201,3.83,1.214,0,0
15687-27-1,CC(Cc1ccc(cc1)C(C(=O)O)C)C,train,4.355,37.3,67.828,1,3.23,2.63,1.166,0,1
67306-00-7,CC(Cc1ccc(cc1)C(C)(C)C)CN1CCCCC1,train,5.721,3.24,3.124,0,4.48,3.258,1.31,1,0
67564-91-4,CC(Cc1ccc(cc1)C(C)(C)C)CN1CC(C)OC(C1)C,train,5.102,12.47,14.124,0,3.827,3.362,1.373,1,0
71-55-6,CC(Cl)(Cl)Cl,train,3.718,0,0,0,2.226,1.265,0.57,0,0
1717-00-6,CC(Cl)(Cl)F,train,3.577,0,14.96,0,2.026,1.265,0.722,0,0
2303-17-5,CC(N(C(=O)SCC(=C(Cl)Cl)Cl)C(C)C)C,train,6.458,45.61,28.269,0,3.012,2.557,0.901,1,0
108-18-9,CC(NC(C)C)C,train,2.352,12.03,18.011,1,1.587,1.654,1.732,1,0
3930-20-9,CC(NCC(c1ccc(cc1)NS(=O)(=O)C)O)C,train,2.958,86.81,121.412,3,0.709,2.938,1.416,2,0
5964-62-5,CC(c1cc(/N=N/c2ccc(cc2)S(=O)(=O)c2ccc(cc2)/N=N/c2cc(C(C)C)c(cc2C)O)c(cc1O)C)C,train,5.440,132.42,196.332,2,4.478,4.984,1.087,4,0
79-94-7,CC(c1cc(Br)c(c(c1)Br)O)(c1cc(Br)c(c(c1)Br)O)C,train,4.838,40.46,85.367,2,5.255,3.001,0.485,0,0
3547-04-4,CC(c1ccc(cc1)Cl)c1ccc(cc1)Cl,train,6.858,0,0,0,5.453,2.837,0.735,0,0
140-66-9,CC(c1ccc(cc1)O)(CC(C)(C)C)C,train,6.360,20.23,42.683,1,3.921,2.494,1.229,0,0
80-05-7,CC(c1ccc(cc1)O)(c1ccc(cc1)O)C,train,4.301,40.46,85.367,2,3.306,2.832,0.917,0,0
98-82-8,CC(c1ccccc1)C,train,3.772,0,0,0,3.259,2.048,1.111,0,0
578-54-1,CCc1ccccc1N,train,4.179,26.02,32.897,2,2.193,2.031,0.992,1,0
78-59-1,CC1=CC(=O)CC(C1)(C)C,train,3.061,17.07,25.145,0,1.947,2.005,1.276,0,0
99-86-5,CC1=CC=C(CC1)C(C)C,train,4.867,0,0,0,3.267,2.119,1.25,0,0
5989-27-5,CC1=CCC(CC1)C(=C)C,train,5.373,0,0,0,3.267,2.119,1.25,0,0
80-56-8,CC1=CCC2CC1C2(C)C,train,3.522,0,0,0,3.374,2.118,1.204,0,0
75-07-0,CC=O,train,0.550,17.07,25.145,0,-0.317,1.155,1.74,0,0
709-98-8,CCC(=O)Nc1ccc(c(c1)Cl)Cl,train,4.714,29.1,43.156,1,3.076,2.438,0.773,1,1
79-09-4,CCC(=O)O,train,3.170,37.3,67.828,1,0.133,1.401,1.582,0,1
149-31-5,CCC(C(CO)C)O,train,1.220,40.46,85.367,2,0.706,1.768,1.594,0,0
78-99-9,CCC(Cl)Cl,train,3.631,0,0,0,2.226,1.401,0.826,0,0
40487-42-1,CCC(Nc1c(cc(c(c1[N+](=O)[O-])C)C)[N+](=O)[O-])CC,train,3.725,103.67,119.505,1,3.546,2.847,1.211,3,0
88-85-7,CCC(c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-])C,train,6.000,111.87,144.177,1,2.702,2.626,1.047,2,0
3766-81-2,CCC(c1ccccc1OC(=O)NC)C,train,6.320,38.33,54.156,1,2.391,2.612,1.293,1,0
50-06-6,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,train,2.201,75.27,111.456,2,0.779,2.709,1.029,2,2
123-38-6,CCC=O,train,2.815,17.07,25.145,0,0.202,1.334,1.66,0,0
37517-30-9,CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)C)O,train,3.819,87.66,139.995,3,1.589,3.514,1.339,2,1
107-92-6,CCCC(=O)O,train,3.160,37.3,67.828,1,0.586,1.577,1.56,0,1
60207-90-1,CCCC1COC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl,train,4.720,49.17,55.448,0,4.168,3.329,1.042,3,0
51333-22-3,CCCC1OC2C(O1)(C(=O)CO)C1(C(C2)C2CCC3=CC(=O)C=CC3(C2C(C1)O)C)C,train,4.333,93.06,157.656,2,2.014,3.767,1.189,0,0
109-66-0,CCCCC,train,3.870,0,0,0,3.138,1.509,1.7,0,0
109-52-4,CCCCC(=O)O,train,3.358,37.3,67.828,1,0.996,1.746,1.547,0,1
149-57-5,CCCCC(C(=O)O)CC,train,3.080,37.3,67.828,1,2.06,2.06,1.529,0,1
104-76-7,CCCCC(CO)CC,train,3.115,20.23,42.683,1,2.274,2.005,1.596,0,0
103-23-1,CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,train,5.749,52.6,72.29,0,4.737,3.907,1.595,0,2
117-81-7,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,train,4.550,52.6,72.29,0,5.426,3.893,1.402,0,2
1241-94-7,CCCCC(COP(=O)(Oc1ccccc1)Oc1ccccc1)CC,train,6.383,54.57,41.028,0,5.208,3.691,1.585,0,0
110-54-3,CCCCCC,train,4.340,0,0,0,3.516,1.678,1.667,0,0
96829-58-2,CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,train,4.850,81.7,115.445,1,5.44,4.623,1.517,1,3
104-40-5,CCCCCCCCCc1ccc(cc1)O,train,6.064,20.23,42.683,1,5.089,3.049,1.247,0,0
1806-26-4,CCCCCCCCc1ccc(cc1)O,train,6.360,20.23,42.683,1,4.833,2.913,1.229,0,0
26530-20-1,CCCCCCCCn1sccc1=O,train,6.074,50.24,26.663,0,3.247,2.789,1.206,1,1
111-70-6,CCCCCCCO,train,3.226,20.23,42.683,1,1.94,1.997,1.61,0,0
154361-50-9,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,train,2.626,122.91,210.537,3,0.868,3.59,1.462,3,1
1114-71-2,CCCCN(C(=O)SCCC)CC,train,4.474,45.61,28.269,0,2.275,2.445,1.29,1,0
592-82-5,CCCCN=C=S,train,5.429,44.45,16.786,0,2.539,1.84,0.92,1,1
55406-53-6,CCCCNC(=O)OCC#CI,train,6.848,38.33,54.156,1,1.737,2.472,0.638,1,0
1516-32-1,CCCCNC(=S)N,train,3.850,70.14,50.908,3,0.59,1.909,0.907,2,0
84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,train,4.878,52.6,72.29,0,3.618,3.197,1.356,0,2
85-68-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,train,5.190,52.6,72.29,0,4.091,3.568,1.15,0,2
142-96-1,CCCCOCCCC,train,3.700,9.23,11,0,2.274,2.15,1.754,0,0
51-03-6,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,train,5.291,46.15,54.999,0,2.11,3.866,1.521,0,0
2528-36-1,CCCCOP(=O)(Oc1ccccc1)OCCCC,train,6.042,54.57,41.028,0,3.742,3.136,1.773,0,0
104-51-8,CCCCc1ccccc1,train,5.548,0,0,0,3.562,2.281,1.15,0,0
759-94-4,CCCN(C(=O)SCC)CCC,train,4.608,45.61,28.269,0,1.971,2.294,1.275,1,0
2556-42-5,CCCN(C(=S)SSC(=S)N(CCC)CCC)CCC,train,6.188,121.26,6.249,0,2.869,3.095,0.862,2,0
1582-09-8,CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CCC,train,6.240,94.88,149.498,0,4.207,3.047,1.283,3,0
71-23-8,CCCO,train,0.935,20.23,42.683,1,0.347,1.334,1.768,0,0
24579-73-5,CCCOC(=O)NCCCN(C)C,train,3.250,41.57,57.28,1,0.734,2.548,1.853,2,0
107-03-9,CCCS,train,6.102,38.8,0,1,1.364,1.334,1.212,0,0
13194-48-4,CCCSP(=O)(SCCC)OCC,train,6.579,86.71,27.185,0,2.06,2.394,1.088,0,0
54965-21-8,CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC,train,7.044,92.31,70.941,2,2.195,3.082,0.999,3,0
29232-93-7,CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,train,9.140,98.61,57.46,0,2.054,2.891,1.442,3,0
542-85-8,CCN=C=S,train,5.308,44.45,16.786,0,1.676,1.509,0.779,1,1
105-55-5,CCNC(=S)NCC,train,2.838,56.15,36.022,2,0.59,1.879,1.001,2,0
2741-06-2,CCNC(=S)Nc1ccccc1,train,3.351,56.15,36.022,2,1.945,2.461,0.805,2,0
122-34-9,CCNc1nc(NCC)nc(n1)Cl,train,3.331,62.73,86.378,2,2.273,2.478,1.254,5,0
21725-46-2,CCNc1nc(nc(n1)Cl)NC(C#N)(C)C,train,6.447,86.52,117.437,2,2.031,2.679,1.198,6,1
64-17-5,CCO,train,0.590,20.23,42.683,1,-0.172,1.155,1.911,0,0
77501-63-4,CCOC(=O)C(OC(=O)c1cc(ccc1[N+](=O)[O-])Oc1ccc(cc1Cl)C(F)(F)F)C,train,5.030,107.65,178.917,0,4.219,3.945,1.078,1,2
105-37-3,CCOC(=O)CC,train,2.827,26.3,36.145,0,0.996,1.723,1.805,0,1
105-53-3,CCOC(=O)CC(=O)OCC,train,2.899,52.6,72.29,0,0.787,2.223,1.8,0,2
121-75-5,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,train,8.349,138.26,86.133,0,0.491,2.854,1.146,0,2
84-66-2,CCOC(=O)c1ccccc1C(=O)OCC,train,3.603,52.6,72.29,0,2.577,2.707,1.313,0,2
20485-39-6,CCOC(=O)c1ocnc1C,train,2.668,52.33,62.438,0,0.567,2.239,1.542,1,1
60-29-7,CCOCC,train,1.730,9.23,11,0,0.8,1.509,2.003,0,0
311-45-5,CCOP(=O)(Oc1ccc(cc1)[N+](=O)[O-])OCC,train,9.141,100.39,91.775,0,2.682,2.903,1.823,1,0
786-19-6,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,train,6.442,110.96,13.843,0,3.089,3.015,0.889,0,0
333-41-5,CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,train,8.564,95.37,54.336,0,2.433,2.915,1.394,2,0
56-38-2,CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OCC,train,8.150,115.41,71.512,0,2.223,2.903,1.295,1,0
2921-88-2,CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,train,8.849,82.48,37.55,0,3.213,2.806,1.172,1,0
13071-79-9,CCOP(=S)(SCSC(C)(C)C)OCC,train,8.207,110.96,13.843,0,1.971,2.52,1.012,0,0
59-06-3,CCOc1cc(ccc1C(=O)OC)NC(=O)C,train,3.072,64.63,90.3,1,1.651,2.785,1.346,1,2
91-53-2,CCOc1ccc2c(c1)C(=CC(N2)(C)C)C,train,5.036,21.26,29.011,1,2.826,2.709,1.184,1,0
944-22-9,CCP(=S)(Sc1ccccc1)OCC,train,7.483,76.43,6.922,0,2.723,2.553,0.835,0,0
75-08-1,CCS,train,5.562,38.8,0,1,0.845,1.155,1.177,0,0
2212-67-1,CCSC(=O)N1CCCCCC1,train,4.437,45.61,28.269,0,1.579,2.397,1.162,1,0
298-02-2,CCSCSP(=S)(OCC)OCC,train,7.128,110.96,13.843,0,1.321,2.402,0.988,0,0
114-07-8,CCC1OC(=O)C(C)C(OC2OC(C)C(C(C2)(C)OC)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C(C1(C)O)O)C)C)(C)O,train,3.277,193.91,332.83,5,-0.139,4.73,1.551,1,1
83905-01-5,CCC1OC(=O)C(C)C(OC2OC(C)C(C(C2)(C)OC)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(CN(C(C(C1(C)O)O)C)C)C)(C)O,train,3.795,180.08,310.81,5,0.143,4.805,1.597,2,1
81103-11-9,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(C(O2)C)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C(C1(C)O)O)C)C)(C)OC,train,4.602,182.91,301.147,4,0.036,4.758,1.584,1,1
112410-23-8,CCc1ccc(cc1)C(=O)NN(C(C)(C)C)C(=O)c1cc(C)cc(c1)C,train,4.307,49.41,71.18,1,4.761,3.537,1.147,2,2
589-16-2,CCc1ccc(cc1)N,train,6.130,26.02,32.897,2,2.193,2.056,0.992,1,0
104-90-5,CCc1ccc(nc1)C,train,3.481,12.89,16.786,0,1.533,2.056,1.203,1,0
58-14-0,CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,train,4.632,77.82,99.365,4,3.048,2.813,0.791,4,0
98079-51-7,CCN1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,train,3.432,74.57,147.153,2,1.789,3.373,1.175,3,1
632-22-4,CN(C(=O)N(C)C)C,train,1.601,23.55,31.394,0,0.16,1.7,2.092,2,0
23103-98-2,CN(C(=O)Oc1nc(nc(c1C)C)N(C)C)C,train,7.037,58.56,75.965,0,1.648,2.689,1.675,4,0
2782-91-4,CN(C(=S)N(C)C)C,train,2.232,38.57,6.249,0,0.59,1.7,1.19,2,0
6972-05-0,CN(C(=S)N)C,train,3.392,61.35,36.022,2,-0.273,1.475,0.876,2,0
97-74-5,CN(C(=S)SC(=S)N(C)C)C,train,4.858,95.96,6.249,0,0.454,2.072,0.8,2,0
137-26-8,CN(C(=S)SSC(=S)N(C)C)C,train,6.059,121.26,6.249,0,0.454,2.227,0.677,2,0
15263-53-3,CN(C(CSC(=O)N)CSC(=O)N)C,train,7.378,140.02,119.209,4,-0.812,2.478,0.926,3,0
680-31-9,CN(P(=O)(N(C)C)N(C)C)C,train,1.430,36.6,20.263,0,1.354,1.89,2.073,3,0
57-62-5,CN(C1C(=C(C(=O)N)C(=O)C2(C1CC1C(=C2O)C(=O)c2c(C1(C)O)c(Cl)ccc2O)O)O)C,train,3.573,181.62,324.873,7,-0.392,3.629,0.863,2,1
60-54-8,CN(C1C(=C(C(=O)N)C(=O)C2(C1CC1C(=C2O)C(=O)c2c(C1(C)O)cccc2O)O)O)C,train,6.430,181.62,324.873,7,-0.875,3.595,0.945,2,1
121-69-7,CN(c1ccccc1)C,train,4.385,3.24,3.124,0,2.193,2.048,1.241,1,0
4104-75-0,CN(c1ccccc1)C(=S)N,train,3.298,61.35,36.022,2,1.628,2.231,0.75,2,0
66357-35-5,CN/C(=C/[N+](=O)[O-])/NCCSCc1ccc(o1)CN(C)C,train,2.685,111.56,99.4,2,0.658,3.426,1.189,4,0
54-11-5,CN1CCCC1c1cccnc1,train,4.733,16.13,19.91,0,1.272,2.473,1.256,2,0
82419-36-1,CC1COc2c(N3CCN(C)CC3)c(F)cc3C(=O)C(=CN1c23)C(O)=O,train,3.674,75.01,128.306,1,1.146,3.505,1.232,3,1
533-74-4,CN1CN(C)CSC1=S,train,5.470,63.87,6.249,0,0.198,1.975,0.858,2,0
6923-22-4,CNC(=O)/C=C(/OP(=O)(OC)OC)\C,train,5.760,83.67,84.184,1,0.349,2.397,2.092,1,1
60-51-5,CNC(=O)CSP(=S)(OC)OC,train,5.130,114.76,56.999,1,-0.755,2.214,1.033,1,1
23135-22-0,CNC(=O)O/N=C(/C(=O)N(C)C)\SC,train,5.120,96.3,102.044,1,-0.463,2.434,1.256,3,2
1646-88-4,CNC(=O)O/N=C/C(S(=O)(=O)C)(C)C,train,5.900,93.21,118.087,1,-0.147,2.355,1.644,2,0
116-06-3,CNC(=O)O/N=C/C(SC)(C)C,train,5.551,75.99,73.774,1,0.787,2.266,1.185,2,0
1563-66-2,CNC(=O)Oc1cccc2c1OC(C2)(C)C,train,6.520,47.56,65.155,1,1.459,2.72,1.265,1,0
22781-23-3,CNC(=O)Oc1cccc2c1OC(O2)(C)C,train,6.883,56.79,76.155,1,1.064,2.72,1.346,1,0
63-25-2,CNC(=O)Oc1cccc2c1cccc2,train,5.942,38.33,54.156,1,2.222,2.725,1.012,1,0
598-52-7,CNC(=S)N,train,3.979,70.14,50.908,3,-0.792,1.401,0.647,2,0
2489-77-2,CNC(=S)N(C)C,train,2.188,47.36,21.135,1,0.18,1.627,1.051,2,0
103628-48-4,CNS(=O)(=O)Cc1ccc2c(c1)c(CCN(C)C)c[nH]2,train,3.008,73.58,63.842,2,0.894,3.136,1.388,3,0
100-61-8,CNc1ccccc1,train,5.790,12.03,18.011,1,1.859,1.989,1.062,1,0
67-56-1,CO,train,0.989,20.23,42.683,1,-0.814,1,2.353,0,0
141517-21-7,CO/N=C(\c1ccccc1CO/N=C(/c1cccc(c1)C(F)(F)F)\C)/C(=O)OC,train,5.742,69.48,142.262,0,4.096,3.884,1.169,2,1
175013-18-0,COC(=O)N(c1ccccc1COc1ccn(n1)c1ccc(cc1)Cl)OC,train,6.756,65.82,80.765,0,3.692,3.883,1.087,3,0
23564-05-8,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,train,4.330,164.9,144.333,4,0.16,3.323,0.833,4,0
13684-63-4,COC(=O)Nc1cccc(c1)OC(=O)Nc1cccc(c1)C,train,4.652,76.66,108.311,2,2.087,3.468,1.137,2,0
131-11-3,COC(=O)c1ccccc1C(=O)OC,train,3.770,52.6,72.29,0,2.005,2.468,1.281,0,2
40596-69-8,COC(CCCC(C/C=C/C(=C/C(=O)OC(C)C)/C)C)(C)C,train,5.475,35.53,47.145,0,3.967,3.368,1.533,0,1
70630-17-0,COCC(=O)N(c1c(C)cccc1C)C(C(=O)OC)C,train,3.536,55.84,75.414,0,1.907,2.892,1.439,1,2
51218-45-2,COCC(N(c1c(C)cccc1CC)C(=O)CCl)C,train,4.339,29.54,39.269,0,3.026,2.828,1.243,1,1
107-98-2,COCC(O)C,train,0.590,29.46,53.683,1,-0.081,1.577,1.952,0,0
108-65-6,COCC(OC(=O)C)C,train,2.511,35.53,47.145,0,0.538,1.952,1.928,0,1
20324-32-7,COCC(OCC(O)C)C,train,1.888,38.69,64.683,1,0.224,2.108,1.904,0,0
52-68-6,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,train,7.699,65.57,76.79,1,0.489,1.999,1.533,0,0
30560-19-1,COP(=O)(NC(=O)C)SC,train,4.107,90.51,65.67,1,-0.759,1.929,1.402,1,1
10265-92-6,COP(=O)(SC)N,train,6.618,87.43,55.411,2,-1.222,1.575,1.362,1,0
122-14-5,COP(=S)(Oc1ccc(c(c1)C)[N+](=O)[O-])OC,train,7.671,115.41,71.512,0,1.919,2.72,1.291,1,0
298-00-0,COP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OC,train,7.341,115.41,71.512,0,1.602,2.687,1.288,1,0
86-50-0,COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,train,7.858,133.44,75.193,0,0.906,3.034,0.941,3,1
1825-21-4,COc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,train,7.012,9.23,11,0,4.19,2.225,0.58,0,0
2539-17-5,COc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,train,6.176,29.46,53.683,1,3.028,2.225,0.548,0,0
57057-83-7,COc1c(O)cc(c(c1Cl)Cl)Cl,train,5.527,29.46,53.683,1,2.736,2.183,0.62,0,0
83-66-9,COc1c([N+](=O)[O-])c(C)c(cc1C(C)(C)C)[N+](=O)[O-],train,5.636,100.87,112.494,0,3.275,2.661,1.243,2,0
